FID,C_Nus,Coord_X,Coord_Y
4497,N05157Q,429.750.879,4.584.266.253
4498,N05158R,429.733.888,4.584.290.514
4499,N05159S,429.704.354,4.584.330.931
4500,N05160L,429.690.986,4584348.57
4501,N05161M,429.680.824,4.584.362.223
4502,N05162N,429.671.367,4584375.87
4503,N05163O,429653.42,4.584.401.037
4504,N05164P,429.632.405,4.584.429.904
4505,N05165Q,429.650.872,4.584.318.749
4506,N05166R,429.630.263,4.584.345.918
4507,N05167S,429.690.672,4584264
4508,N05168T,429.862.926,4.584.363.824
4509,N05169U,429.836.245,4.584.404.325
4510,N05170N,429.575.436,4.584.136.225
4511,N05171O,429.556.047,4.584.158.441
4512,N05172P,429.495.498,4.584.104.536
4513,N05173Q,429540.88,4.584.145.529
4514,N05174R,429.446.535,4.584.282.915
4515,N05175S,429.436.952,4.584.297.976
4516,N05176T,429.427.206,4584310.92
4517,N05177U,429.380.367,4.584.381.127
4518,N05178V,429.401.471,4.584.252.155
4519,N05179W,429.381.796,4.584.280.534
4520,N05180P,429.334.862,4.584.348.817
4521,N05181Q,429.589.681,4.584.401.174
4522,N05182R,429.806.347,4584447.54
4523,N05183S,429.549.289,4.583.534.874
4524,N05184T,429.585.797,4.583.492.726
4525,N05185U,429.511.758,4.583.577.034
4526,N05186V,429.030.882,4.583.702.048
4527,N05187W,428.996.623,4.583.760.413
4528,N05188X,428.963.756,4.583.816.788
4529,N05189Y,428.938.483,4.583.883.318
4530,N05190R,428.959.696,4.583.942.346
4531,N05191S,428.959.491,4.584.180.925
4532,N05195W,428.908.568,4584238.62
4533,N05196X,429.046.976,4.584.405.054
4534,N05198Z,428.792.859,4.584.364.163
4535,N05200C,428.742.421,4.584.428.275
4536,N05201D,428.905.381,4.584.409.873
4537,N05203F,429.386.647,4.583.090.771
4538,N05204G,429.358.888,4.583.144.591
4539,N05205H,429.315.721,4.583.204.132
4540,N05206I,429.284.504,4583248.62
4541,N05207J,429.217.913,4.583.337.524
4542,N05208K,429.454.261,4.583.147.873
4543,N05209L,429.543.092,4.583.221.793
4544,N05210E,429.658.032,4.583.227.304
4545,N05211F,429.586.135,4.583.259.295
4546,N05212G,429.421.433,4.583.188.083
4547,N05213H,429494.95,4.583.271.779
4548,N05214I,429.476.015,4.583.284.977
4549,N05215J,429.448.195,4.583.303.565
4550,N05216K,429.398.116,4.583.333.616
4551,N05217L,429.324.026,4.583.352.513
4552,N05218M,429.258.812,4.583.371.292
4553,N05219N,429.248.713,4.583.362.112
4554,N05220G,429.288.518,4.583.396.897
4555,N05221H,429.328.293,4.583.429.733
4556,N05222I,429.408.559,4.583.202.973
4557,N05224K,429.385.698,4.583.184.429
4558,N05225L,429.321.613,4.583.277.354
4559,N05226M,429.480.868,4.583.400.482
4560,N05227N,429.411.738,4.583.346.631
4561,N05228O,429.472.679,4.583.326.063
4562,N05229P,429.739.881,4.583.296.565
4563,N05230I,429.775.541,4.583.326.258
4564,N05231J,429.811.336,4.583.355.672
4565,N05232K,429.846.225,4.583.387.219
4566,N05233L,429.825.954,4.583.412.689
4567,N05234M,429.556.694,4.583.312.637
4568,N05235N,429.579.279,4.583.287.083
4569,N05236O,429.533.002,4.583.339.864
4570,N05237P,429.526.972,4.583.347.895
4571,N05238Q,429.503.775,4.583.375.115
4572,N05239R,429.644.168,4.583.329.577
4573,N05240K,429.713.166,4.583.402.228
4574,N05241L,429.676.679,4.583.373.521
4575,N05242M,429.630.949,4.583.437.272
4576,N05243N,429.636.054,4583340.14
4577,N05244O,429.923.873,4.583.504.028
4578,N05245P,429952.65,4.583.478.699
4579,N05246Q,429.990.444,4.583.444.551
4580,N05247R,429.590.297,4583402.22
4581,N05248S,429.569.418,4.583.430.932
4582,N05249T,429.442.009,4.583.445.751
4583,N05250M,429.548.956,4583459.5
4584,N05251N,429.513.323,4.583.504.861
4585,N05252O,429.279.494,4.583.485.452
4586,N05253P,429.240.252,4.583.451.457
4587,N05254Q,429.207.823,4.583.422.608
4588,N05255R,429.166.925,4.583.472.326
4589,N05256S,429.117.893,4.583.474.872
4590,N05257T,429.863.505,4.583.446.812
4591,N05258U,430.001.922,4.583.526.215
4592,N05259V,429.901.853,4583484.14
4593,N05260O,429.975.831,4.583.553.865
4594,N05261P,430011.08,4.583.587.613
4595,N05262Q,429059.58,4.583.553.625
4596,N05263R,429031.32,4583583.75
4597,N05264S,430.034.553,4.583.491.543
4598,N05265T,430098.45,4.583.529.865
4599,N05266U,430.081.725,4.583.541.264
4600,N05268W,430.059.448,4.583.555.806
4601,N05269X,430.041.602,4.583.567.514
4602,N05270Q,430056.66,4.583.485.541
4603,N05271R,430.031.629,4.583.720.655
4604,N05272S,430.073.731,4.583.758.582
4605,N05273T,430.093.398,4.583.738.442
4606,N05274U,430.116.819,4.583.715.264
4607,N05275V,430.160.149,4.583.669.965
4608,N05276W,430.172.582,4.583.655.609
4609,N05277X,430.038.229,4583796.85
4610,N05278Y,430.227.066,4.583.792.184
4611,N05279Z,430133.91,4.583.888.335
4612,N05280S,430.024.924,4.584.000.396
4613,N05281T,430.132.328,4.583.700.081
4614,N05282U,430.274.875,4.583.842.579
4615,N05283V,430.320.706,4583890.16
4616,N05284W,430.368.938,4.583.936.408
4617,N05285X,430.417.045,4.583.983.504
4618,N05286Y,430.367.714,4.583.749.684
4619,N05287Z,430.415.911,4.583.795.728
4620,N05288A,430.463.024,4.583.842.561
4621,N05289B,430.509.123,4.583.888.143
4622,N05290U,430.604.455,4.583.980.658
4623,N05291V,430.181.482,4.583.936.994
4624,N05292W,430227.59,4.583.982.999
4625,N05293X,430.557.626,4.583.840.062
4626,N05294Y,430.323.353,4.584.075.789
4627,N05295Z,430.275.417,4.584.030.243
4628,N05296A,430.179.651,4.584.125.895
4629,N05297B,430.652.231,4.583.931.463
4630,N05298C,430.512.788,4.584.075.306
4631,N05299D,430.127.933,4.584.083.152
4632,N05300F,430.082.535,4.584.045.094
4633,N05301G,430.157.962,4584107.94
4634,N05302H,430.220.895,4584159.85
4635,N05303I,430.297.874,4.584.221.894
4636,N05304J,430.321.974,4.584.240.571
4637,N05305K,430.350.721,4.584.264.203
4638,N05306L,430.391.745,4.584.297.452
4639,N05307M,430.043.057,4.584.103.976
4640,N05308N,430.370.792,4.584.124.281
4641,N05309O,430.419.201,4.584.172.955
4642,N05310H,430.464.659,4584029.56
4643,N05311I,430.057.984,4.584.188.131
4644,N05312J,430.071.808,4.584.259.176
4645,N05313K,430.085.348,4.584.323.024
4646,N05314L,430.112.983,4.584.457.347
4647,N05315M,429.931.362,4.584.454.697
4648,N05316N,430.112.589,4.584.173.461
4649,N05317O,430.171.618,4.584.219.583
4650,N05318P,430.124.994,4.584.277.088
4651,N05319Q,430.249.296,4.584.283.487
4652,N05320J,430.273.083,4.584.302.744
4653,N05321K,430.301.103,4.584.324.724
4654,N05322L,430.341.304,4584357.71
4655,N05323M,430.203.808,4.584.341.253
4656,N05324N,430.252.917,4.584.381.835
4657,N05325O,430.293.684,4584414.81
4658,N05326P,430.248.798,4.584.334.486
4659,N05327Q,430.159.078,4.584.401.687
4660,N05328R,430.205.327,4.584.437.696
4661,N05329S,430.245.862,4.584.470.852
4662,N05331M,428.359.402,4.585.163.318
4663,N05332N,428.373.978,4.584.912.183
4664,N05334P,428.205.857,4.584.817.932
4665,N05335Q,428235.85,4.584.883.052
4666,N05336R,428.540.391,4.584.823.795
4667,N05338T,428.004.974,4.585.135.998
4668,N05339U,428.302.944,4.585.279.458
4669,N05340N,428.434.431,4.584.869.131
4670,N05341O,428.517.858,4.585.085.518
4671,N05342P,428.647.306,4585174.05
4672,N05343Q,428.536.091,4.585.004.124
4673,N05344R,428.688.063,4.585.121.304
4674,N05345S,428.528.485,4.585.011.757
4675,N05346T,428.542.072,4.585.151.974
4676,N05347U,428.576.195,4.585.178.131
4677,N05348V,428.620.809,4.585.206.625
4678,N05349W,428.519.847,4.584.987.359
4679,N05351Q,428.512.305,4.585.007.274
4680,N05352R,428.370.431,4.585.268.006
4681,N05354T,428229.72,4.585.434.951
4682,N05355U,428.198.621,4.585.601.428
4683,N05356V,428.532.711,4.585.260.309
4684,N05357W,428.639.847,4.585.219.001
4685,N05358X,428.482.607,4.585.353.075
4686,N05359Y,428.654.943,4584783.94
4687,N05360R,428.600.506,4.584.785.855
4688,N05361S,428.583.859,4.584.786.181
4689,N05362T,428.601.529,4584822.12
4690,N05363U,428.602.854,4.584.859.368
4691,N05364V,428.597.289,4584709.83
4692,N05365W,428.561.022,4.584.753.564
4693,N05366X,428.384.308,4.584.792.729
4694,N05367Y,428.120.157,4.584.898.897
4695,N05368Z,427.944.856,4.585.084.607
4696,N05369A,429.308.521,4.584.457.474
4697,N05370T,429.425.395,4584537.46
4698,N05371U,429.467.984,4.584.566.559
4699,N05372V,429.510.716,4.584.595.939
4700,N05373W,429586.27,4.584.646.542
4701,N05374X,429.642.572,4.584.681.672
4702,N05375Y,429696.49,4.584.603.187
4703,N05376Z,429.784.221,4.584.664.764
4704,N05377A,429.852.888,4.584.712.177
4705,N05378B,429.890.064,4.584.738.572
4706,N05379C,429.718.396,4.584.571.651
4707,N05380V,429.806.408,4.584.632.663
4708,N05381W,429917.34,4.584.708.855
4709,N05382X,429.731.564,4.584.740.423
4710,N05383Y,429.833.864,4.584.810.428
4711,N05384Z,429.635.077,4.584.559.884
4712,N05385A,429.486.075,4.584.455.286
4713,N05386B,429.527.819,4584484.67
4714,N05387C,429.569.283,4.584.514.901
4715,N05388D,429.653.418,4.584.528.104
4716,N05389E,429.893.748,4584506.66
4717,N05390X,429.846.569,4.584.575.106
4718,N05391Y,429.744.771,4584723.59
4719,N05392Z,429.677.733,4.584.820.739
4720,N05393A,429.650.124,4.584.858.787
4721,N05394B,429818.54,4.584.760.824
4722,N05395C,429.857.328,4.584.780.723
4723,N05396D,429.772.732,4.584.491.471
4724,N05397E,429.756.301,4.584.514.664
4725,N05398F,429.594.548,4.584.750.824
4726,N05399G,429.566.025,4.584.787.036
4727,N05400I,429.532.619,4.584.844.286
4728,N05401J,429.687.393,4.584.467.431
4729,N05402K,429.961.741,4.584.652.839
4730,N05403L,430.014.439,4.584.588.331
4731,N05404M,429.703.523,4.584.438.875
4732,N05405N,429.549.245,4.584.712.982
4733,N05406O,429.472.352,4.584.646.064
4734,N05407P,429.138.426,4.584.925.416
4735,N05408Q,429.200.007,4.584.976.056
4736,N05409R,429252.11,4.585.021.078
4737,N05410K,429.283.908,4.585.048.432
4738,N05411L,429.163.271,4.584.886.955
4739,N05412M,429.247.393,4584925.96
4740,N05413N,429.311.587,4.584.957.539
4741,N05414O,429.334.744,4.584.968.047
4742,N05415P,429.162.794,4.584.793.378
4743,N05416Q,429.206.796,4.584.822.755
4744,N05417R,429.299.834,4.584.868.651
4745,N05418S,429.362.323,4.584.897.271
4746,N05419T,429.351.861,4584813.46
4747,N05420M,429.247.517,4.584.764.067
4748,N05421N,429.285.707,4.584.707.785
4749,N05422O,429.345.952,4.584.740.998
4750,N05423P,429.319.541,4.584.759.162
4751,N05424Q,429.378.015,4.584.785.724
4752,N05425R,429.491.197,4.584.663.841
4753,N05426S,429.450.847,4.584.707.609
4754,N05427T,429.379.017,4.584.565.886
4755,N05428U,429.336.385,4.584.631.004
4756,N05429V,429.267.169,4.584.733.666
4757,N05430O,429.418.163,4.584.685.399
4758,N05431P,429.486.362,4.584.731.788
4759,N05432Q,429.522.872,4.584.758.081
4760,N05433R,429.717.512,4.584.915.339
4761,N05434S,429.736.773,4.584.933.635
4762,N05435T,429.270.399,4.584.512.059
4763,N05436U,429.395.058,4.584.579.464
4764,N05437V,429.434.694,4.584.611.535
4765,N05438W,429.462.396,4.584.636.997
4766,N05439X,429.523.019,4.584.691.396
4767,N05440Q,429.725.342,4.584.855.331
4768,N05441R,429.771.502,4.584.890.289
4769,N05442S,428.722.851,4.584.638.634
4770,N05443T,428.792.745,4.584.685.442
4771,N05444U,428.830.524,4.584.711.449
4772,N05445V,428878.06,4.584.742.086
4773,N05446W,428.929.704,4584777.37
4774,N05447X,428.976.253,4.584.808.575
4775,N05448Y,429.003.847,4.584.828.118
4776,N05449Z,428.814.374,4.584.655.318
4777,N05450S,428898.57,4.584.715.353
4778,N05451T,428.872.384,4.584.576.539
4779,N05452U,428.958.852,4.584.639.956
4780,N05453V,429.001.308,4.584.671.171
4781,N05454W,429.048.002,4.584.703.364
4782,N05455X,428.750.854,4584811.6
4783,N05456Y,428.790.105,4.584.854.399
4784,N05457Z,428.773.724,4.584.921.226
4785,N05458A,429.098.832,4.584.526.938
4786,N05459B,429.042.443,4584609.66
4787,N05460U,428.839.854,4.584.911.848
4788,N05461V,428.653.156,4.584.716.204
4789,N05462W,428722.52,4.584.782.321
4790,N05467B,429369.19,4.584.372.195
4791,N05469D,430.061.647,4584527.79
4792,N05470W,429.799.557,4.585.051.761
4793,N05471X,429687.08,4.584.969.906
4794,N05473Z,429.586.828,4.585.085.501
4795,N05474A,429.543.265,4.585.130.786
4796,N05480Y,429.473.215,4.585.136.008
4797,N05481Z,429.477.121,4.584.949.317
4798,N05483B,429.439.404,4.585.019.147
4799,N05485D,429.538.984,4.584.989.325
4800,N05487F,429.419.844,4.584.917.578
4801,N05488G,429.407.541,4.584.911.241
4802,N05490A,429.480.666,4.585.057.449
4803,N05493D,429.466.977,4.584.836.429
4804,N05495F,429.396.617,4.584.856.527
4805,N05498I,428.720.675,4.584.465.033
4806,N05499J,428.681.959,4.584.531.761
4807,N05500L,428.647.865,4.584.588.878
4808,N05502N,428.966.783,4.584.448.126
4809,N05505Q,429.032.976,4.584.488.867
4810,N05507S,429.181.936,4.584.576.077
4811,N05509U,428.982.344,4.584.578.193
4812,N05512P,429121.88,4.584.680.576
4813,N05518V,429.062.816,4584741.15
4814,N05521Q,429.050.671,4.584.778.587
4815,N05522R,428.955.413,4.584.900.941
4816,N05523S,428.931.896,4.584.955.488
4817,N05524T,428.930.781,4.585.150.866
4818,N05525U,428.926.408,4.584.881.261
4819,N05526V,428.883.218,4584947.22
4820,N05527W,428.817.695,4584525.77
4821,N05529Y,428638.35,4.584.729.907
4822,N05533U,428.799.845,4.584.500.664
4823,N05536X,428.690.309,4.584.616.848
4824,N05541U,428.699.285,4.584.828.198
4825,N05542V,428.715.975,4.584.925.036
4826,N05543W,428.703.447,4.584.973.906
4827,N05544X,428.696.711,4.585.024.313
4828,N05547A,428.659.143,4.584.820.888
4829,N05549C,428.651.936,4.584.857.887
4830,N05557C,428.681.389,4.585.041.434
4831,N05560X,428.648.395,4.585.012.027
4832,N05562Z,428.724.555,4.585.073.919
4833,N05565C,428.763.388,4.585.118.554
4834,N05567E,428.763.661,4.585.191.033
4835,N05568F,428.680.833,4.585.201.212
4836,N05570Z,428.802.569,4.585.102.355
4837,N05573C,428.840.723,4.585.025.489
4838,N05574D,428.807.776,4.585.000.947
4839,N05575E,428.897.052,4.584.998.822
4840,N05579I,428.781.055,4.585.282.515
4841,N05580B,428.823.066,4.585.386.281
4842,N05582D,428.804.964,4.585.230.134
4843,N05584F,428.851.924,4.585.360.747
4844,N05588J,428.716.919,4.585.227.505
4845,N05590D,428.696.893,4.585.259.442
4846,N05594H,428.745.539,4.585.296.869
4847,N05597K,428.467.415,4.585.459.884
4848,N05598L,428.417.426,4.585.402.989
4849,N05599M,428.362.577,4585450.11
4850,N05600O,428.354.596,4.585.547.205
4851,N05601P,428.404.038,4585611.73
4852,N05602Q,428.428.985,4585650.14
4853,N05607V,428.090.325,4.585.640.481
4854,N05608W,428.141.571,4.585.482.016
4855,N05611R,428049.32,4.585.529.962
4856,N05613T,428.141.094,4.585.360.387
4857,N05614U,428.106.712,4.585.395.899
4858,N05615V,428.027.725,4.585.471.901
4859,N05617X,428.136.363,4.585.425.777
4860,N05619Z,428.092.928,4.585.321.362
4861,N05620S,428.003.013,4.585.408.968
4862,N05621T,428.293.715,4585419.24
4863,N05622U,428.337.829,4.585.437.703
4864,N05630U,428.404.464,4585677.16
4865,N05633X,428262.16,4.585.737.835
4866,N05635Z,428.374.813,4.585.750.395
4867,N05636A,428.409.144,4.585.750.358
4868,N05637B,428.318.328,4.585.854.243
4869,N05639D,428.331.312,4.585.752.141
4870,N05640W,428.278.493,4.585.822.861
4871,N05656E,427.555.192,4.585.547.971
4872,N05657F,427.610.621,4.585.619.108
4873,N05658G,427.633.992,4.585.644.904
4874,N05659H,427.699.771,4.585.700.548
4875,N05660A,427.600.767,4.585.524.318
4876,N05661B,427648.08,4.585.584.042
4877,N05662C,427.724.377,4.585.655.322
4878,N05663D,427.773.988,4.585.448.694
4879,N05664E,427.688.958,4.585.543.579
4880,N05667H,427.647.526,4.585.498.287
4881,N05669J,427.720.115,4.585.580.145
4882,N05671D,428.017.621,4.585.557.952
4883,N05673F,427.979.844,4.585.595.154
4884,N05674G,427.951.923,4.585.622.639
4885,N05675H,427.917.909,4.585.656.373
4886,N05677J,427.898.948,4.585.512.816
4887,N05679L,427.867.987,4.585.543.042
4888,N05682G,427.980.593,4.585.731.003
4889,N05683H,427.823.813,4.585.585.612
4890,N05684I,427.850.931,4.585.613.553
4891,N05690G,427.797.499,4.585.631.497
4892,N05694K,427.601.016,4.585.693.171
4893,N05697N,427.586.109,4.585.762.137
4894,N05698O,427.729.561,4.585.405.714
4895,N05705W,427.935.223,4.585.678.802
4896,N05706X,427.844.687,4.585.892.881
4897,N05712V,428.784.823,4585534.99
4898,N05713W,428.839.512,4.585.512.337
4899,N05714X,428.871.685,4.585.498.607
4900,N05715Y,428902.2,4.585.488.101
4901,N05716Z,428.743.059,4.585.419.754
4902,N05717A,428.790.278,4.585.400.669
4903,N05719C,428.856.415,4.585.373.462
4904,N05720V,428.919.062,4.585.701.443
4905,N05721W,428.956.847,4.585.693.562
4906,N05722X,429.085.118,4.585.668.938
4907,N05723Y,428.940.937,4.585.656.135
4908,N05724Z,429.003.987,4.585.644.214
4909,N05725A,429.059.265,4.585.633.481
4910,N05729E,428.880.642,4.585.735.922
4911,N05739G,428.895.049,4.585.554.159
4912,N05743C,428.924.051,4.585.540.114
4913,N05744D,428960.17,4.585.608.541
4914,N05745E,428.911.306,4.585.436.268
4915,N05746F,428.962.076,4.585.530.538
4916,N05749I,429.000.745,4.585.524.793
4917,N05752D,428.978.187,4585415.63
4918,N05753E,429.022.656,4.585.406.692
4919,N05754F,429.097.417,4.585.392.009
4920,N05767K,429.095.616,4.585.425.801
4921,N05768L,429.041.716,4.585.438.906
4922,N05769M,428.970.587,4.585.455.209
4923,N05771G,429026.29,4.585.455.052
4924,N05787O,428.971.646,4585386.35
4925,N05788P,429.037.363,4.585.386.758
4926,N05790J,429.125.845,4.585.386.349
4927,N05800U,427.817.452,4.585.297.596
4928,N05805Z,430.117.308,4.584.477.307
4929,N05806A,430152.44,4.584.502.941
4930,N05807B,430192.15,4.584.534.493
4931,N05812Y,432.604.951,4.585.185.708
4932,N05813Z,432.700.573,4.585.280.607
4933,N05814A,432.748.439,4.585.327.111
4934,N05815B,432.504.744,4.584.902.105
4935,N05816C,432.601.207,4.584.996.391
4936,N05817D,432.698.548,4.585.088.086
4937,N05818E,432.793.914,4.585.185.901
4938,N05819F,432.503.376,4.584.710.555
4939,N05820Y,432.599.847,4.584.806.633
4940,N05821Z,432.694.587,4.584.898.977
4941,N05822A,432.772.713,4.585.014.807
4942,N05823B,432.693.547,4.584.711.118
4943,N05825D,432.325.598,4.584.547.127
4944,N05826E,432.365.414,4.584.605.306
4945,N05827F,432.402.727,4.584.678.628
4946,N05828G,432.450.655,4.584.765.673
4947,N05829H,432.407.627,4.584.616.133
4948,N05830A,432.437.491,4.584.645.322
4949,N05831B,432.646.396,4.584.448.317
4950,N05832C,432.593.597,4.584.505.176
4951,N05833D,432.534.355,4.584.569.054
4952,N05835F,432.497.277,4.584.608.753
4953,N05836G,432.423.976,4.584.542.775
4954,N05837H,432.461.491,4.584.503.224
4955,N05838I,432.489.801,4.584.473.382
4956,N05839J,432.509.746,4.584.452.533
4957,N05840C,432.445.902,4.584.486.871
4958,N05841D,432.505.136,4.584.543.262
4959,N05843F,432.541.482,4.584.419.002
4960,N05844G,432.574.602,4.584.384.847
4961,N05845H,432.573.965,4.584.473.145
4962,N05846I,432.467.454,4.584.581.751
4963,N05847J,432.512.167,4.584.324.662
4964,N05848K,432.446.761,4584391.07
4965,N05849L,432423.12,4.584.413.638
4966,N05850E,432.315.276,4.584.510.655
4967,N05851F,432.789.941,4.584.807.216
4968,N05852G,432.742.617,4.584.853.092
4969,N05853H,432.040.718,4.584.630.501
4970,N05854I,432.071.369,4.584.665.975
4971,N05855J,432.109.551,4.584.701.974
4972,N05856K,432.176.713,4.584.767.756
4973,N05857L,432.317.011,4.584.902.928
4974,N05858M,432.255.715,4.584.654.587
4975,N05859N,432.271.844,4584739.85
4976,N05860G,432.356.795,4.585.052.788
4977,N05861H,432.409.455,4.584.993.546
4978,N05862I,432410.29,4.584.806.816
4979,N05863J,432.128.114,4.584.907.588
4980,N05864K,432191.11,4.584.967.485
4981,N05865L,432.096.558,4.584.937.607
4982,N05866M,432.076.054,4.584.958.887
4983,N05867N,432.045.267,4.584.982.399
4984,N05868O,432.110.702,4.585.002.477
4985,N05869P,432.160.989,4.584.999.324
4986,N05870I,432138.82,4.585.023.164
4987,N05871J,432.046.156,4.585.032.962
4988,N05872K,432.047.674,4.585.070.803
4989,N05873L,431.949.669,4585130.76
4990,N05875N,431.932.588,4.585.101.477
4991,N05877P,431.946.438,4.585.014.913
4992,N05878Q,431895.13,4585039.74
4993,N05879R,431.969.133,4.584.885.693
4994,N05880K,431.904.825,4.584.928.837
4995,N05881L,431.849.177,4.584.964.255
4996,N05882M,431.790.062,4.585.004.331
4997,N05883N,431.756.999,4.585.026.456
4998,N05884O,431.868.414,4.585.167.178
4999,N05885P,431.839.092,4.585.198.322
5000,N05886Q,431811.02,4.585.228.513
5001,N05887R,431.912.281,4.585.068.507
5002,N05888S,431.850.391,4.585.129.465
5003,N05889T,431.825.374,4.585.075.556
5004,N05890M,431.807.538,4.585.130.991
5005,N05891N,431.772.713,4.585.147.485
5006,N05892O,431.728.762,4.585.168.461
5007,N05893P,431.670.346,4.585.196.098
5008,N05894Q,431.724.794,4.585.047.936
5009,N05895R,431.684.313,4.585.074.815
5010,N05896S,431635.64,4.585.107.039
5011,N05897T,431699.27,4.585.107.854
5012,N05898U,431.645.973,4.585.133.007
5013,N05899V,431.626.637,4584954.46
5014,N05900X,431.775.356,4585264
5015,N05901Y,431.670.709,4.584.931.788
5016,N05902Z,431.704.658,4.584.912.901
5017,N05903A,431.738.726,4.584.892.177
5018,N05904B,431.788.496,4.584.861.813
5019,N05905C,431.743.394,4.585.297.523
5020,N05906D,431.691.986,4.585.246.004
5021,N05907E,431.720.256,4585320.04
5022,N05908F,431.540.707,4.585.101.915
5023,N05909G,431582.55,4.585.140.718
5024,N05910Z,431.651.138,4.585.207.756
5025,N05911A,431.788.852,4.585.339.283
5026,N05912B,431.741.595,4.585.367.218
5027,N05913C,431.572.438,4.584.967.226
5028,N05914D,431.521.847,4.585.189.711
5029,N05915E,431.604.457,4.585.201.215
5030,N05916F,431563.86,4.585.243.646
5031,N05917G,431.457.099,4.585.018.941
5032,N05918H,431554.66,4.584.925.803
5033,N05919I,431.557.828,4.584.810.153
5034,N05920B,431.592.083,4.584.771.255
5035,N05921C,431.614.661,4.584.815.308
5036,N05922D,431.638.547,4.584.864.059
5037,N05923E,431.656.928,4.584.901.288
5038,N05924F,431.482.335,4.584.756.189
5039,N05925G,431524.28,4.584.844.719
5040,N05926H,431.517.285,4.584.879.686
5041,N05927I,431.417.338,4584977.15
5042,N05928J,431.461.683,4.584.824.086
5043,N05929K,431366.72,4.584.922.944
5044,N05930D,431.372.466,4.584.732.699
5045,N05931E,431.438.948,4.584.800.608
5046,N05932F,431.472.837,4.584.871.002
5047,N05933G,431394.95,4.584.952.624
5048,N05934H,431.700.441,4.584.812.777
5049,N05935I,431.720.328,4.584.853.536
5050,N05936J,431.969.081,4584752.85
5051,N05937K,431.910.497,4.584.789.284
5052,N05938L,431.854.817,4584822.08
5053,N05939M,431.740.781,4.584.780.838
5054,N05940F,431.765.265,4.584.820.541
5055,N05941G,431.784.299,4.584.570.571
5056,N05942H,431.895.178,4.584.678.384
5057,N05943I,431941.34,4.584.724.061
5058,N05944J,432.041.988,4.584.719.816
5059,N05945K,431.999.769,4.584.732.871
5060,N05946L,431.981.632,4.584.621.757
5061,N05947M,431.831.825,4.584.777.274
5062,N05949O,431.716.854,4.584.799.329
5063,N05950H,431.812.468,4.584.411.051
5064,N05951I,431.769.667,4584457.3
5065,N05952J,431.720.565,4584508
5066,N05953K,431.636.336,4.584.597.093
5067,N05954L,431.542.463,4.584.694.629
5068,N05955M,431509.13,4.584.729.471
5069,N05956N,431.748.019,4.584.348.045
5070,N05957O,431.703.644,4.584.391.831
5071,N05958P,431.654.542,4.584.442.911
5072,N05959Q,431.566.511,4.584.533.036
5073,N05960J,431.474.167,4.584.628.436
5074,N05961K,431.440.429,4.584.664.978
5075,N05962L,431.609.117,4.584.753.355
5076,N05963M,431.409.431,4.584.600.202
5077,N05964N,431.702.378,4.584.654.938
5078,N05965O,431.751.039,4.584.698.917
5079,N05968R,431.684.848,4.584.756.461
5080,N05969S,431.647.618,4.584.713.651
5081,N05970L,431.833.671,4.584.518.881
5082,N05971M,432.036.977,4.584.427.305
5083,N05972N,431.894.871,4.584.487.822
5084,N05973O,431870.47,4.584.419.582
5085,N05974P,431.969.758,4.584.561.876
5086,N05975Q,432.009.428,4.584.600.062
5087,N05976R,431920.11,4.584.590.521
5088,N05977S,432.122.752,4.584.523.161
5089,N05978T,432.175.552,4.584.576.638
5090,N05979U,432.125.247,4.584.597.686
5091,N05980N,432.138.416,4.584.635.963
5092,N05981O,432.206.282,4.584.607.231
5093,N05982P,432185.72,4.584.458.851
5094,N05983Q,432.213.664,4.584.547.824
5095,N05984R,432.228.419,4.584.596.342
5096,N05985S,432239.99,4.584.415.156
5097,N05987U,432.344.978,4.584.740.666
5098,N05988V,432.177.782,4.584.432.806
5099,N05989W,432.275.084,4.584.401.285
5100,N05990P,432.706.685,4.584.506.125
5101,N05991Q,431.794.104,4.584.297.843
5102,N05992R,431.840.068,4.584.250.301
5103,N05993S,431.886.127,4.584.294.321
5104,N05994T,431.942.342,4.584.348.235
5105,N05995U,431934.26,4.584.155.329
5106,N05996V,431.979.601,4.584.198.511
5107,N05997W,432.033.607,4.584.080.953
5108,N05998X,432.102.774,4.584.232.997
5109,N05999Y,432.114.928,4.584.259.231
5110,N06000A,432.155.652,4.584.364.812
5111,N06003D,432087.74,4.584.312.754
5112,N06004E,432.036.646,4.584.347.934
5113,N06005F,432.035.886,4.584.279.497
5114,N06006G,432.188.465,4.584.355.975
5115,N06007H,432.185.589,4.584.280.188
5116,N06008I,432220.79,4584346.54
5117,N06009J,432.257.026,4.584.333.814
5118,N06010C,432.172.942,4.584.242.492
5119,N06011D,432.229.938,4.584.225.139
5120,N06012E,432.034.979,4.584.231.948
5121,N06013F,432.216.804,4.584.171.129
5122,N06014G,432.420.033,4.583.462.228
5123,N06015H,432.326.488,4.583.558.474
5124,N06016I,432234,4.583.654.129
5125,N06018K,432.608.429,4.583.458.811
5126,N06019L,432.515.374,4.583.554.333
5127,N06020E,432.422.324,4.583.650.137
5128,N06021F,432.328.845,4.583.745.665
5129,N06022G,432.184.666,4.583.897.666
5130,N06023H,432.760.207,4.583.498.446
5131,N06024I,432.705.552,4.583.555.409
5132,N06025J,432.613.414,4.583.650.377
5133,N06026K,432.521.471,4.583.746.559
5134,N06027L,432.138.563,4.583.560.483
5135,N06028M,432.233.359,4583470.53
5136,N06029N,432.280.197,4.583.512.922
