FID,C_Nus,Coord_X,Coord_Y
259,N00298I,431.732.085,4.581.868.525
260,N00299J,431684.35,4.581.827.899
261,N00300L,431.674.756,4.581.686.247
262,N00301M,431.681.518,4.581.700.069
263,N00302N,431.688.587,4581713.99
264,N00303O,431.695.306,4.581.729.592
265,N00304P,431.705.556,4.581.751.444
266,N00305Q,431.712.167,4581765.52
267,N00306R,431.655.037,4.581.733.508
268,N00307S,431.731.024,4.581.714.959
269,N00308T,431.756.713,4.581.721.232
270,N00309U,431.762.484,4.581.702.987
271,N00310N,431.806.728,4581698.3
272,N00311O,431.671.523,4.581.772.548
273,N00312P,431.661.264,4.581.750.016
274,N00313Q,431.647.482,4.581.719.819
275,N00314R,431.678.203,4.581.786.715
276,N00315S,431.566.144,4581657.72
277,N00316T,431.581.547,4.581.684.644
278,N00317U,431.587.327,4.581.693.734
279,N00318V,431.604.413,4.581.722.281
280,N00319W,431.618.746,4.581.748.393
281,N00320P,431.637.136,4.581.913.401
282,N00321Q,431667.45,4.581.932.738
283,N00322R,431.726.273,4.581.990.506
284,N00323S,431.781.594,4.581.933.961
285,N00324T,431.830.724,4.581.980.796
286,N00325U,431.621.752,4.582.006.555
287,N00326V,431.542.568,4.581.927.634
288,N00327W,431.563.479,4.581.908.166
289,N00328X,431578.95,4.581.893.775
290,N00329Y,431.604.442,4.581.870.353
291,N00330R,431.619.222,4.581.859.445
292,N00331S,431.659.831,4.581.831.064
293,N00332T,431.679.669,4.581.817.383
294,N00333U,431.568.868,4.581.954.223
295,N00334V,431600.9,4.581.938.422
296,N00335W,431.615.291,4.581.953.436
297,N00336X,431.612.397,4.581.928.607
298,N00337Y,431.774.995,4.582.038.587
299,N00338Z,431.886.244,4.581.924.783
300,N00339A,431.588.995,4.582.113.509
301,N00340T,431.610.501,4.582.027.109
302,N00341U,431.479.424,4.581.861.856
303,N00342V,431.597.499,4.581.980.884
304,N00343W,431.711.877,4.582.102.134
305,N00344X,431.646.417,4.582.170.753
306,N00345Y,431.697.258,4582221.6
307,N00346Z,431.763.781,4.582.285.958
308,N00347A,431.826.831,4.582.345.899
309,N00348B,431.562.519,4.582.253.719
310,N00349C,432.487.417,4.582.052.048
311,N00350V,431.579.148,4581771.49
312,N00351W,431609.59,4.581.810.424
313,N00352X,431.589.381,4.581.827.293
314,N00353Y,431.639.985,4.581.793.079
315,N00354Z,431.612.865,4.581.751.926
316,N00355A,431.450.996,4.581.885.275
317,N00356B,431.498.089,4.581.843.367
318,N00357C,431.502.729,4.581.838.494
319,N00358D,431.454.095,4.581.800.032
320,N00359E,431.498.462,4.581.762.259
321,N00360X,431.511.466,4.581.753.306
322,N00361Y,431.569.346,4.581.708.916
323,N00362Z,431446.88,4.581.753.248
324,N00363A,431.476.065,4.581.734.541
325,N00364B,431.495.069,4.581.726.589
326,N00365C,431.516.221,4.581.716.741
327,N00366D,431.493.107,4.581.667.754
328,N00367E,431.527.187,4.581.739.658
329,N00368F,431.512.029,4581663.4
330,N00369G,431.521.095,4.581.684.932
331,N00370Z,431.379.207,4.581.658.676
332,N00371A,431.451.529,4.581.627.823
333,N00372B,431.472.848,4.581.672.356
334,N00373C,431.483.745,4.581.612.815
335,N00374D,431.498.278,4581598.16
336,N00377G,431.548.828,4.581.628.992
337,N00378H,431.570.615,4.581.613.787
338,N00379I,431550.66,4.581.591.812
339,N00380B,431.536.385,4.581.613.445
340,N00381C,431.560.565,4.581.644.819
341,N00382D,431.590.967,4.581.618.487
342,N00383E,431.672.638,4.582.382.028
343,N00384F,431.582.775,4.582.472.797
344,N00385G,431.488.162,4.582.550.405
345,N00386H,431.449.278,4581969.45
346,N00387I,431.503.572,4.581.935.641
347,N00388J,431.454.382,4.581.987.502
348,N00389K,431.517.705,4.581.941.419
349,N00390D,431.463.464,4.582.022.439
350,N00391E,431.541.749,4.581.956.978
351,N00392F,431.474.565,4.582.053.806
352,N00393G,431.563.969,4.581.967.465
353,N00394H,431.480.472,4.582.069.565
354,N00395I,431.573.449,4.581.974.354
355,N00396J,431.500.573,4.582.114.796
356,N00397K,431.572.511,4.582.007.188
357,N00398L,431442.91,4.581.894.654
358,N00399M,431.526.073,4.581.945.661
359,N00401P,431.425.282,4581682.08
360,N00402Q,431.449.979,4.581.676.456
361,N00403R,431.456.225,4.581.704.012
362,N00404S,431.387.107,4.581.691.641
363,N00405T,431.430.342,4581738.06
364,N00406U,431.457.932,4.581.764.415
365,N00407V,431.405.355,4.581.762.848
366,N00408W,431596.99,4.581.759.923
367,N00409X,431.640.206,4.581.736.876
368,N00410Q,431.532.621,4.581.878.947
369,N00411R,431.438.303,4.581.785.024
370,N00412S,431.431.233,4581778.61
371,N00414U,431.423.881,4.581.783.932
372,N00415V,431.373.695,4.581.751.902
373,N00416W,431.395.887,4.581.755.922
374,N00417X,431.387.404,4.581.766.005
375,N00418Y,431.426.417,4.581.909.773
376,N00419Z,431.432.626,4.581.922.273
377,N00420S,431.442.497,4.581.950.076
378,N00421T,431.458.314,4.582.004.199
379,N00422U,431.470.405,4.582.042.572
380,N00423V,431.485.209,4.582.110.524
381,N00425X,431.733.719,4.582.442.044
382,N00428A,431.481.214,4.582.443.063
