vehicle_identifier, vehicle_identification_number, gps_lat, gps_lng, battery_charge, vehicle_status, created_on
4780-LMH,UCYS01S0ZMB000392,41.384475,2.172503,99,TRAVELLING,2021-03-11 12:26:49.10793+00
4780-LMH,UCYS01S0ZMB000392,41.384465,2.172528,99,TRAVELLING,2021-03-11 12:27:01.415559+00
4780-LMH,UCYS01S0ZMB000392,41.384466,2.172531,99,TRAVELLING,2021-03-11 12:27:04.34167+00
4780-LMH,UCYS01S0ZMB000392,41.384475,2.172525,99,TRAVELLING,2021-03-11 12:27:19.663427+00
4780-LMH,UCYS01S0ZMB000392,41.384474,2.172524,99,TRAVELLING,2021-03-11 12:27:21.340937+00
4780-LMH,UCYS01S0ZMB000392,41.384499,2.172461,99,TRAVELLING,2021-03-11 12:27:54.512449+00
4780-LMH,UCYS01S0ZMB000392,41.38451,2.172451,99,TRAVELLING,2021-03-11 12:27:57.571185+00
4780-LMH,UCYS01S0ZMB000392,41.384557,2.172428,99,TRAVELLING,2021-03-11 12:27:59.133317+00
4780-LMH,UCYS01S0ZMB000392,41.384632,2.172334,98,TRAVELLING,2021-03-11 12:28:07.821921+00
4780-LMH,UCYS01S0ZMB000392,41.384629,2.172328,98,TRAVELLING,2021-03-11 12:28:09.243213+00
4780-LMH,UCYS01S0ZMB000392,41.384543,2.17221,98,TRAVELLING,2021-03-11 12:28:22.620709+00
4780-LMH,UCYS01S0ZMB000392,41.384534,2.172197,98,AVAILABLE,2021-03-11 12:28:27.482961+00
4780-LMH,UCYS01S0ZMB000392,41.384583,2.172055,98,RESERVED,2021-03-11 12:29:26.455572+00
4780-LMH,UCYS01S0ZMB000392,41.384664,2.171961,98,TRAVELLING,2021-03-11 12:29:55.725256+00
4780-LMH,UCYS01S0ZMB000392,41.38465,2.17196,98,TRAVELLING,2021-03-11 12:30:10.706909+00
4780-LMH,UCYS01S0ZMB000392,41.384608,2.171978,98,TRAVELLING,2021-03-11 12:30:25.566534+00
4780-LMH,UCYS01S0ZMB000392,41.38457,2.172001,98,TRAVELLING,2021-03-11 12:30:40.595737+00
4780-LMH,UCYS01S0ZMB000392,41.384545,2.172037,98,TRAVELLING,2021-03-11 12:30:55.505527+00
4780-LMH,UCYS01S0ZMB000392,41.384495,2.172056,98,TRAVELLING,2021-03-11 12:31:10.799673+00
4780-LMH,UCYS01S0ZMB000392,41.384488,2.172057,98,TRAVELLING,2021-03-11 12:31:25.653415+00
4780-LMH,UCYS01S0ZMB000392,41.384492,2.172063,98,TRAVELLING,2021-03-11 12:31:29.623519+00
4780-LMH,UCYS01S0ZMB000392,41.384495,2.172071,98,TRAVELLING,2021-03-11 12:31:33.226686+00
4780-LMH,UCYS01S0ZMB000392,41.384507,2.172072,98,TRAVELLING,2021-03-11 12:31:33.245826+00
4780-LMH,UCYS01S0ZMB000392,41.384513,2.172076,98,TRAVELLING,2021-03-11 12:31:42.300131+00
4780-LMH,UCYS01S0ZMB000392,41.384528,2.172071,98,TRAVELLING,2021-03-11 12:31:43.879697+00
4780-LMH,UCYS01S0ZMB000392,41.384602,2.171985,98,TRAVELLING,2021-03-11 12:31:58.663414+00
4780-LMH,UCYS01S0ZMB000392,41.384627,2.17165,98,TRAVELLING,2021-03-11 12:32:10.480208+00
4780-LMH,UCYS01S0ZMB000392,41.384693,2.171218,98,TRAVELLING,2021-03-11 12:32:20.386194+00
4780-LMH,UCYS01S0ZMB000392,41.384706,2.171097,98,TRAVELLING,2021-03-11 12:32:23.789877+00
4780-LMH,UCYS01S0ZMB000392,41.384712,2.171058,98,TRAVELLING,2021-03-11 12:32:25.660306+00
4780-LMH,UCYS01S0ZMB000392,41.384712,2.171038,98,TRAVELLING,2021-03-11 12:32:26.903956+00
4780-LMH,UCYS01S0ZMB000392,41.384712,2.171058,98,TRAVELLING,2021-03-11 12:32:27.662413+00
4780-LMH,UCYS01S0ZMB000392,41.384713,2.171024,98,TRAVELLING,2021-03-11 12:32:29.16307+00
4780-LMH,UCYS01S0ZMB000392,41.384712,2.171038,98,TRAVELLING,2021-03-11 12:32:29.375068+00
